,customer_city,price,cumulative_sum,cumcut
3742,matelandia,57.980000000000004,13798863.15000035,0.9991407441957288
3743,itacoatiara,57.98,13798921.130000351,0.9991449423807329
3744,sonora,57.98,13798979.110000351,0.9991491405657369
3745,bacaxa,57.9,13799037.010000352,0.9991533329581435
3746,caem,57.9,13799094.910000352,0.99915752535055
3747,barra do jacare,57.9,13799152.810000353,0.9991617177429566
3748,rubelita,57.89,13799210.700000353,0.9991659094112885
3749,itaara,56.99,13799267.690000353,0.999170035912899
3750,condeuba,56.99,13799324.680000354,0.9991741624145095
3751,varzea do poco,56.99,13799381.670000354,0.99917828891612
3752,iacri,56.98,13799438.650000354,0.999182414693656
3753,sao joao do sobrado,55.92,13799494.570000354,0.9991864637192756
3754,jaguaracu,55.9,13799550.470000355,0.9991905112967457
3755,dom macedo costa,55.9,13799606.370000355,0.999194558874216
3756,itamira,55.9,13799662.270000355,0.9991986064516862
3757,berilo,55.9,13799718.170000356,0.9992026540291565
3758,campo do tenente,55.9,13799774.070000356,0.9992067016066267
3759,arapoema,55.9,13799829.970000356,0.999210749184097
3760,balbinos,55.32,13799885.290000357,0.9992147547652357
3761,porto murtinho,55.0,13799940.290000357,0.9992187371759845
3762,novo cabrais,55.0,13799995.290000357,0.9992227195867335
3763,salinas da margarida,55.0,13800050.290000357,0.9992267019974823
3764,tocos do moji,55.0,13800105.290000357,0.9992306844082312
3765,pereiras,54.99,13800160.280000357,0.9992346660949054
3766,alto sao joao,54.99,13800215.270000357,0.9992386477815796
3767,amargosa,54.99,13800270.260000357,0.9992426294682538
3768,canaa,54.99,13800325.250000358,0.999246611154928
3769,itapiuna,54.980000000000004,13800380.230000358,0.9992505921175275
3770,carnaiba do sertao,54.98,13800435.210000359,0.9992545730801271
3771,sete de setembro,54.9,13800490.110000359,0.9992585482501292
3772,pouso novo,54.9,13800545.01000036,0.9992625234201312
3773,nossa senhora das gracas,54.8,13800599.81000036,0.9992664913493865
3774,monsenhor paulo,53.99,13800653.80000036,0.9992704006285926
3775,sento se,53.99,13800707.79000036,0.9992743099077986
3776,angelica,53.9,13800761.69000036,0.9992782126703326
3777,cajuri,53.9,13800815.590000361,0.9992821154328665
3778,santana do itarare,53.9,13800869.490000362,0.9992860181954004
3779,brazabrantes,53.5,13800922.990000362,0.999289891994947
3780,presidente nereu,52.99,13800975.980000362,0.9992937288666849
3781,gramado xavier,52.9,13801028.880000362,0.9992975592217507
3782,nova boa vista,52.9,13801081.780000363,0.9993013895768165
3783,cerro grande,52.9,13801134.680000363,0.9993052199318821
3784,sao thome das letras,52.8,13801187.480000364,0.9993090430462012
3785,ibirataia,52.8,13801240.280000364,0.9993128661605202
3786,piacatu,51.19,13801291.470000364,0.9993165726988152
3787,nova america,51.0,13801342.470000364,0.9993202654796914
3788,pacotuba,50.9,13801393.370000364,0.999323951019821
3789,padre gonzales,50.0,13801443.370000364,0.999327571393229
3790,pedra lavrada,50.0,13801493.370000364,0.9993311917666371
3791,nova roma,49.99,13801543.360000364,0.9993348114159705
